id,status,date,topic,decision,rationale,source_path
ADR-0001,Accepted,2026-09-23,แยก TimeBudget ออกจาก Cron,- TimeBudget ควบคุม subagent ที่กำลังรัน (in-flight) - Cron ควบคุมการปลุก client ตามเวลา (future/recurring) - ทั้งสองไม่ใช้ type ร่วมกัน ไม่ใช้ field ...,"เดิมมีความเข้าใจผิดว่า ""การตั้งเวลา"" ของ subagent เป็นเรื่องเดียวกับ cron ทำให้เกิดการรวม ScheduleSpec เข้ากับ workflow/run ซึ่งผิด abstraction - Suba...",docs/decisions/0001-separate-timebudget-from-cron.md
ADR-0002,Accepted,2026-09-23,TimeBudget เป็น Required Field สำหรับ subagent และ reducer,- WorkflowItem ทุกตัวต้องมี time_budget: TimeBudget - ReducerSpec ทุกตัวต้องมี time_budget: TimeBudget - TimeBudget ประกอบด้วย: - max_duration_seconds...,ก่อนหน้านี้ workflow/run ไม่มี time budget ทำให้ subagent อาจค้าง วนลูป ไม่คืนผล โดยไม่มีกลไกจับ,docs/decisions/0002-timebudget-required-field.md
ADR-0003,Accepted,2026-09-23,workflow/run ห้ามมี cron หรือ schedule field,RunRequest และทุก type ที่เกี่ยวข้องกับ workflow execution ห้ามมี field ที่สื่อถึงเวลาในอนาคต ได้แก่: - schedule - cron - run_at - delay - recurring -...,เพื่อป้องกันการปนกันอีกในอนาคต ต้องมี invariant ที่ตรวจสอบได้,docs/decisions/0003-workflow-run-no-cron-fields.md
ADR-0004,Accepted,2026-09-23,Cron เป็น Subsystem แยกสมบูรณ์ (Revised),- src/cron/ เป็นโมดูลอิสระจาก workflow และ worker - มนุษย์เขียน cron definition เป็น Markdown frontmatter + body - CronDefinition เป็น runtime model ท...,Cron มีหน้าที่ต่างจาก workflow อย่างสิ้นเชิง—ปลุก client และ dispatch งานตามกำหนดการ ไม่ควบคุม subagent โดยตรง เดิม CronDefinition ผูก execution hint ...,docs/decisions/0004-cron-separate-subsystem.md
ADR-0005,Accepted,2026-09-23,Cron เป็น User-Initiated เท่านั้น — Agent ไม่เลือกเอง,- Cron เข้าถึงผ่าน /cron slash command หรือ CLI flowz cron ... เท่านั้น - Main agent ในโหมดปกติ ไม่มี cron tool ใน context - Agent skill สำหรับ cron ถ...,การให้ agent เลือก cron mode เองเปิดช่องให้ตั้ง schedule โดยผู้ใช้ไม่ได้สั่ง ซึ่งเป็นพฤติกรรมที่ไม่ควรเกิดกับงานระยะยาว,docs/decisions/0005-cron-user-initiated-only.md
ADR-0006,Accepted,2026-09-23,MCP Public Namespace ใช้ flowz_*,- MCP tool name ทั้งหมดใช้ prefix flowz_ - รูปแบบ: flowz_<domain>_<action> เช่น: - flowz_workflow_run - flowz_workflow_job - flowz_workflow_cancel - f...,ชื่อ generic อย่าง cron_create หรือ workflow/run ทำให้เกิด collision กับ MCP server อื่น และทำให้ skill อ้างชื่อกำกวม → agent อาจไปหยิบ cron ของระบบอื...,docs/decisions/0006-mcp-namespace-flowz-prefix.md
ADR-0007,Accepted,2026-09-23,MCP และ CLI ใช้ Service Layer ร่วมกัน,- Business logic ทั้งหมดอยู่ใน FlowzService layer - MCP handler และ CLI handler เป็นแค่ adapter - ทั้งสองส่ง InvocationContext เข้า service - Output r...,ถ้า MCP และ CLI มี business logic ซ้ำ จะเกิด behavior divergence และต้องแก้สองที่,docs/decisions/0007-shared-service-layer.md
ADR-0008,Accepted,2026-09-23,InvocationContext แยก Source MCP/CLI,- มี InvocationContext ที่มี source: InvocationSource (Mcp หรือ Cli) - Propagate ผ่านทุก operation - Fields: - source - request_id (UUID ภายใน แยกจาก ...,"MCP และ CLI ต้องรู้ว่าตัวเองถูกเรียกจากไหน เพราะ output, error handling, permission ต่างกัน",docs/decisions/0008-invocation-context-source.md
ADR-0009,Accepted,2026-09-23,Supervisor รับ Typed Events ไม่ใช่ Log,- Supervisor รับ typed events จาก event bus - Events เป็น struct ที่มี schema ชัด - Source of truth = typed event ไม่ใช่ log - Log เป็น output ของ eve...,การอ่าน log ทั้งหมดและ parse ข้อความเพื่อหา error เปลือง token ไม่แม่นยำ และไม่ deterministic,docs/decisions/0009-supervisor-typed-events.md
ADR-0010,Accepted,2026-09-23,Supervisor ใช้ Rule-Based ก่อน — LLM Optional,- Rule engine เป็นชั้นแรก - LLM checker เป็นชั้นสอง เป็น optional - LLM checker มี budget และ circuit breaker - Default = rule-based เท่านั้น,"การให้ LLM วิเคราะห์ทุก event จะเพิ่ม cost, latency, recursive behavior และผลลัพธ์ไม่ deterministic",docs/decisions/0010-supervisor-rule-based-first.md
